spkr,age,lightlevel,contrast,.
1.267563886,0,mesopic,2,
1.206763646,0,mesopic,2,
1.214987358,0,mesopic,2,
1.258146981,0,mesopic,2,
1.157596035,0,mesopic,2,
1.440697867,0,mesopic,2,
1.326794923,0,mesopic,2,
1.304744749,0,mesopic,2,
1.318781648,0,mesopic,2,
1.338800744,0,mesopic,2,
1.00344808,0,mesopic,2,
1.23478142,0,mesopic,2,
1.189864847,0,mesopic,2,
1.265439191,0,mesopic,2,
1.199976861,0,mesopic,2,
1.31367417,0,mesopic,2,
1.170302831,0,mesopic,2,
1.305422722,0,mesopic,2,
1.087080353,0,mesopic,2,
1.369621134,0,mesopic,2,
1.372045035,0,mesopic,2,
1.289282085,0,mesopic,2,
1.297976519,0,mesopic,2,
1.320668855,0,mesopic,2,
1.189279084,0,mesopic,2,
1.249434902,0,mesopic,2,
1.433264761,0,mesopic,2,
1.325853834,0,mesopic,2,
1.50161014,0,mesopic,2,
1.205731691,0,mesopic,2,
1.167173865,0,mesopic,2,
1.345133382,0,mesopic,2,
1.288439981,0,mesopic,2,
1.171886755,0,mesopic,2,
1.403288655,0,mesopic,2,
1.138380461,0,mesopic,2,
1.182692866,0,mesopic,2,
1.235252607,0,mesopic,2,
1.18754161,0,mesopic,2,
1.463352379,0,mesopic,2,
1.421693589,0,mesopic,2,
1.087663455,0,mesopic,2,
1.234934761,0,mesopic,2,
1.185859313,0,mesopic,2,
1.086579277,0,mesopic,2,
1.351848695,0,mesopic,2,
1.185397339,0,mesopic,2,
1.330202282,0,mesopic,2,
1.065511524,0,mesopic,2,
1.311037707,0,mesopic,2,
1.264364239,0,mesopic,2,
1.381146203,0,mesopic,2,
0.958110141,0,mesopic,2,
1.281543353,0,mesopic,2,
1.322622062,0,mesopic,2,
1.208032562,0,mesopic,2,
1.284290921,0,mesopic,2,
1.482701252,0,mesopic,2,
1.219409741,0,mesopic,2,
1.184492478,0,mesopic,2,
1.294237438,0,mesopic,2,
1.085578379,0,mesopic,2,
1.172986764,0,mesopic,2,
1.324643758,0,mesopic,2,
1.241059275,0,mesopic,2,
1.15060785,0,mesopic,2,
1.154709394,0,mesopic,2,
1.419161448,0,mesopic,2,
1.202770622,0,mesopic,2,
1.3218771,0,mesopic,2,
1.248785527,0,mesopic,2,
1.318945808,0,mesopic,2,
1.265481769,0,mesopic,2,
1.208208524,0,mesopic,2,
1.27220795,0,mesopic,2,
1.243595281,0,mesopic,2,
1.463947783,0,mesopic,2,
1.249426908,0,mesopic,2,
1.10418292,0,mesopic,2,
1.237718582,0,mesopic,2,
1.318321676,0,mesopic,2,
1.233330953,0,mesopic,2,
1.333573016,0,mesopic,2,
1.242663327,0,mesopic,2,
1.258745533,0,mesopic,2,
1.236867736,0,mesopic,2,
1.33689895,0,mesopic,2,
1.248425853,0,mesopic,2,
1.260966762,0,mesopic,2,
1.408231152,0,mesopic,2,
1.089320559,0,mesopic,2,
1.299119828,0,mesopic,2,
1.129828274,0,mesopic,2,
1.290167276,0,mesopic,2,
1.392456351,0,mesopic,2,
1.388944325,0,mesopic,2,
1.21602471,0,mesopic,2,
1.403821758,0,mesopic,2,
1.267463473,0,mesopic,2,
1.313902134,0,mesopic,2,
1.539380741,0,mesopic,2,
1.23629708,0,mesopic,2,
1.258302658,0,mesopic,2,
1.364549354,0,mesopic,2,
1.193817851,0,mesopic,2,
1.203319681,0,mesopic,2,
1.214081916,0,mesopic,2,
1.225719245,0,mesopic,2,
1.256142256,0,mesopic,2,
1.348803744,0,mesopic,2,
1.133825042,0,mesopic,2,
1.04967231,0,mesopic,2,
1.286392522,0,mesopic,2,
1.556919558,0,mesopic,2,
1.140579216,0,mesopic,2,
1.290365719,0,mesopic,2,
1.193586712,0,mesopic,2,
0.972837508,0,mesopic,2,
1.40946738,0,mesopic,2,
1.254779173,0,mesopic,2,
1.367388814,0,mesopic,2,
1.042123811,0,mesopic,2,
1.315511041,0,mesopic,2,
1.1961224,0,mesopic,2,
1.131060024,0,mesopic,2,
1.319906886,0,mesopic,2,
1.236364554,0,mesopic,2,
1.322106109,0,mesopic,2,
1.290003136,0,mesopic,2,
1.050847918,0,mesopic,2,
1.290262297,0,mesopic,2,
1.298133796,0,mesopic,2,
1.362098579,0,mesopic,2,
1.1927917,0,mesopic,2,
1.332755537,0,mesopic,2,
1.267434541,0,mesopic,2,
1.270473102,0,mesopic,2,
1.01619606,0,mesopic,2,
1.193573401,0,mesopic,2,
1.18021901,0,mesopic,2,
1.247266574,0,mesopic,2,
1.259611435,0,mesopic,2,
1.081047628,0,mesopic,2,
1.161099072,0,mesopic,2,
1.365900058,0,mesopic,2,
1.296684534,0,mesopic,2,
1.228774145,0,mesopic,2,
1.270400868,0,mesopic,2,
1.230534141,0,mesopic,2,
1.223002204,0,mesopic,2,
1.378523611,0,mesopic,2,
1.408715713,0,mesopic,2,
1.343917907,0,mesopic,2,
1.251327441,0,mesopic,2,
1.150879654,0,mesopic,2,
1.278369536,0,mesopic,2,
1.314383985,0,mesopic,2,
1.363229406,0,mesopic,2,
1.320858227,0,mesopic,2,
1.316235033,0,mesopic,2,
1.205727494,0,mesopic,2,
1.246771249,0,mesopic,2,
1.216684529,0,mesopic,2,
1.240166927,0,mesopic,2,
1.162522103,0,mesopic,2,
1.214910196,0,mesopic,2,
1.383462775,0,mesopic,2,
1.15719088,0,mesopic,2,
1.12485467,0,mesopic,2,
1.24938826,0,mesopic,2,
1.493879164,0,mesopic,2,
